absorbance_ratio_A570_A400,lspr_shift_nm,nanoparticle_aggregation_index,color_shift_delta_E,fluorescence_nir_au,ros_h2o2_signal_uM,spectral_response_integrated,plant_stress_index,plant_health
0.291403,1.6538,0.016037,15.788,6.955405,14.4657,0.471863,0.180797,1
0.166921,0,0.058242,9.5854,8.054429,11.3682,0.208924,0.143667,1
0.208285,0,0,4.4744,7.051265,7.3056,0.328998,0.010678,1
0.570508,8.9856,0.289975,29.0061,4.648222,17.8464,1.036048,0.335825,0
0.398949,3.3583,0.056751,18.3506,6.544181,8.5879,0.61638,0.154078,1
0.198779,1.1568,0.07237,6.5171,7.536288,6.9541,0.309139,0.170738,1
0.510944,3.3062,0.258514,25.6264,5.663639,15.519,0.811264,0.361682,1
1.554535,48.2964,1,38.4463,0.8844,78.8762,2.565651,0.752619,0
0.999867,27.7186,0.912334,38.751,3.030715,39.495,1.515316,0.657958,0
0.163714,1.0454,0,0.4807,8.030318,5.7252,0.324869,0.014915,1
1.165523,34.0885,0.971469,39.7697,1.923497,59.3856,2.02613,0.781024,0
0.153165,0.2539,0.008242,6.6957,7.864098,7.024,0.166344,0.140566,1
0.42351,2.3052,0.160053,18.4149,5.87612,13.9235,0.623634,0.281646,1
1.188648,34.2051,1,38.4109,1.761765,59.8252,2.156536,0.735748,0
1.413216,41.904,1,37.8941,1.334931,73.6228,2.493846,0.848466,0
1.430324,46.6119,1,42.5493,1.325249,69.2433,2.543149,0.713106,0
1.591479,49.3953,1,37.3599,0.650393,92.6773,2.72026,0.961338,0
0.197365,0.7367,0.056634,6.8817,7.720668,14.178,0.418354,0.249425,1
1.463265,45.9837,0.994331,44.357,1.159406,76.4558,2.63467,0.975825,0
0.938371,23.6039,1,26.4226,2.636081,44.042,1.786639,0.702819,0
0.914069,22.5501,0.891759,35.0252,3.576934,34.8845,1.522972,0.550094,0
0.423445,2.4809,0.086242,12.9396,6.040102,18.042,0.683738,0.218854,1
1.108958,29.8776,0.978011,39.0579,1.7993,46.9658,1.859819,0.702232,0
0.571057,7.2418,0.366159,23.4086,5.522968,22.9174,0.832783,0.318706,1
0.323648,0.8196,0.065499,13.5306,6.252096,13.652,0.461321,0.106164,1
1.213232,35.8109,0.927373,38.4847,1.472418,57.2902,2.137774,0.718327,0
0.256509,0.392,0.093125,8.4986,6.77052,9.9158,0.469562,0.190463,1
0.572794,11.4843,0.383678,28.7786,4.682739,17.1838,1.03321,0.437026,0
0.543558,4.1791,0.211886,17.7817,5.883322,11.1223,0.76456,0.244782,1
0.175277,1.1322,0.069908,6.4559,7.638995,24.5799,0.254439,0.076805,1
0.945192,18.5718,0.895423,34.8391,3.762763,32.218,1.255697,0.524956,0
0.368128,3.9268,0,13.626,6.878939,5,0.657168,0.106803,1
0.237618,2.0008,0.054146,11.0168,6.87085,18.0052,0.541371,0.223032,1
0.38167,0.8748,0.074897,12.1599,6.595829,5,0.597704,0.144428,1
0.204676,0.5866,0.03336,2.1347,7.729379,10.5663,0.458986,0.066558,1
1.154778,31.5169,0.906802,44.5496,1.910003,50.9048,2.0068,0.686294,0
0.247393,1.4107,0,5.3989,7.113793,10.9691,0.540965,0.104634,1
0.495153,2.6777,0.332336,18.1343,5.529777,13.5143,0.62476,0.332065,1
0.234293,0.1687,0.063668,10.8902,8.143302,9.0163,0.216536,0.107001,1
1.316684,37.5123,0.944658,44.4258,1.832483,59.0247,2.334842,0.778473,0
0.744595,11.5374,0.753104,29.1194,4.494245,31.0439,1.208149,0.482313,0
0.112728,0.0373,0.069973,0,7.578106,5.6136,0.292375,0.125074,1
0.267088,0.1519,0.100261,14.4017,6.984524,17.0789,0.503245,0.234715,1
0.373268,2.5664,0.10576,17.1335,6.379967,9.687,0.548466,0.181152,1
0.172459,0,0.085427,0,7.659611,16.5276,0.288189,0.127113,1
0.479771,1.6643,0.255693,16.8878,5.611778,24.2928,0.71422,0.227248,1
0.760013,15.4515,0.846422,23.2274,4.03726,31.6975,1.212232,0.581475,0
0.711947,14.3593,0.768705,31.6104,4.077848,27.7884,1.269613,0.478705,0
1.389079,41.9946,1,45.6522,1.418262,61.3763,2.469093,0.789203,0
0.508661,1.8639,0.22548,30.2679,5.121027,18.0713,0.87959,0.33854,0
0.255538,0.4628,0,11.7965,6.646233,5,0.46761,0.173372,1
1.40146,47.1846,0.942493,43.6029,1.156784,72.0222,2.400118,0.799575,0
0.460504,2.6486,0.251907,22.0262,5.744119,17.4229,0.728663,0.25163,1
0.178351,0.1497,0.024055,3.5313,7.315968,14.6843,0.383562,0.142915,1
0.493792,3.3609,0.268486,19.9636,5.206023,18.8906,0.737738,0.305214,0
0.240179,1.341,0.077171,1.6183,7.422718,11.5243,0.56523,0.147739,1
0.227387,0.8742,0.067189,4.7951,7.056865,14.5009,0.261887,0.152908,1
0.382393,1.8979,0.098503,15.572,6.209044,5.7294,0.701371,0.200252,1
0.902651,18.5833,0.848346,33.1208,3.894116,36.5621,1.478432,0.589153,0
0.38418,1.85,0.093689,10.8958,6.770622,8.9986,0.660173,0.202207,1
0.661971,8.4225,0.608417,36.2166,4.682371,26.5437,1.081963,0.499374,0
1.524421,51.6314,1,49.4238,0.609275,86.9192,2.766032,0.922021,0
0.887789,20.0175,0.872982,28.801,3.804565,31.125,1.598175,0.575513,0
0.123459,0.2345,0.064703,0,7.854426,5,0.319409,0.114628,1
0.519442,5.8574,0.26504,25.106,5.484136,14.1346,0.763893,0.258883,0
1.191232,38.1771,1,42.5448,1.821469,57.7975,2.228574,0.793078,0
0.190729,0,0,12.1107,7.254332,8.1118,0.395372,0.019649,1
0.264715,0.6674,0,12.3808,6.571249,6.2668,0.578103,0.129294,1
0.476504,3.2258,0.055185,19.2976,5.599474,15.3858,0.771641,0.227567,1
0.257399,1.8093,0.019365,4.9655,7.508625,17.6241,0.351626,0.050653,1
0.515608,1.4219,0.166808,24.4336,5.674346,20.5769,0.63715,0.216512,1
0.256327,1.5951,0.009022,5.408,7.205879,18.5282,0.452399,0.215321,1
0.202466,0,0.1081,2.9732,8.009643,13.9121,0.328717,0.065882,1
0.126641,0,0.013667,1.193,8.180499,5,0.161084,0.010374,1
0.998564,25.0698,0.957169,37.4193,2.716783,41.8647,1.973135,0.683504,0
0.149135,1.5087,0,2.7577,7.472667,11.4826,0.484406,0.10894,1
0.141086,0,0.135648,3.5385,7.199566,12.4385,0.39499,0.086644,1
1.222173,32.8473,0.90087,39.4738,2.279418,48.5343,2.137289,0.584755,0
0.922876,21.1362,0.838175,30.0663,2.966035,47.4982,1.614303,0.57298,0
0.516322,2.8353,0.174477,25.9823,5.645162,23.3422,0.817662,0.320874,1
1.457558,47.8711,1,37.8762,0.789704,83.6446,2.610688,0.856172,0
0.201301,1.518,0,4.1467,7.892759,5,0.379612,0.04422,1
0.663542,10.1188,0.581309,30.6806,4.84859,10.8021,1.0641,0.356368,0
0.550461,3.447,0.235082,21.4727,4.960988,23.55,0.889479,0.318757,0
0.945834,24.824,0.890148,38.589,3.495423,41.1989,1.588237,0.638313,0
1.129061,29.7579,1,31.2047,1.958171,56.9212,2.115689,0.717309,0
1.164147,31.0692,0.991037,32.1909,3.12132,57.7733,1.844765,0.782102,0
0.229069,1.1643,0,1.9644,7.245726,9.7356,0.350629,0.061856,1
1.029498,24.5972,1,33.6964,3.031424,38.1493,1.689246,0.735473,0
0.225953,0.722,0,4.0405,7.427792,11.7775,0.301542,0.194436,1
0.97118,24.0091,0.956497,37.3151,3.015658,47.4915,1.677824,0.640427,0
0.212247,0,0.040367,0,7.603124,15.611,0.27854,0.120163,1
0.578659,4.3906,0.347,18.2843,6.036406,22.6494,0.688709,0.29669,1
0.397338,2.5536,0.063013,17.0777,6.093857,12.3872,0.706886,0.237717,1
0.69315,9.6933,0.530075,28.842,4.377019,22.1495,1.007624,0.415349,0
0.420545,2.4593,0.135922,21.2123,6.135509,10.3852,0.657478,0.242224,1
0.17859,0,0,0.9113,8.550948,9.1515,0.261858,0.088077,1
0.542206,4.4514,0.28445,20.992,5.345551,17.8451,1.022172,0.360801,0
0.245644,1.4515,0,4.8805,7.866921,14.0107,0.297768,0.124627,1
0.206274,1.3423,0.074597,0.3352,7.268125,14.1856,0.317963,0.097444,1
1.398298,43.6572,1,43.7141,1.168028,68.7292,2.407308,0.918238,0
0.813118,16.7781,0.908526,29.5695,4.073655,35.9877,1.237947,0.557363,0
1.501202,48.3878,1,48.5056,1.210129,84.069,2.637771,0.801899,0
0.523999,3.406,0.186999,20.6069,5.622284,15.4584,0.756266,0.22422,1
1.227361,37.22,1,38.539,2.192227,66.2572,2.091332,0.748469,0
0.239306,1.2162,0.041518,7.7093,7.41095,7.5733,0.546617,0.06103,1
0.185836,0.7433,0.049847,7.8541,7.811119,11.234,0.417516,0.196472,1
1.071866,26.3255,0.943066,42.2416,2.478626,37.2457,1.737508,0.582808,0
1.14379,31.0016,1,43.1356,2.636554,51.9107,2.056147,0.780034,0
0.291771,1.7601,0.158201,11.377,6.972027,16.5873,0.435545,0.249087,1
0.229431,2.1873,0.027289,2.5295,6.464892,11.2745,0.418384,0.155139,1
0.224243,0,0,13.7014,7.162013,17.5046,0.388926,0.230288,1
0.169197,0,0.061458,0,8.129439,12.9653,0.312521,0.129787,1
0.250731,1.0751,0.076561,3.4644,7.350226,5,0.338495,0.119504,1
1.503555,44.9652,0.872754,40.0265,0.845506,75.1353,2.522602,0.743508,0
0.956335,22.3186,1,30.9047,3.048286,49.9362,1.560335,0.696733,0
0.23905,0.091,0.023262,1.6778,6.960877,7.9642,0.382832,0.158588,1
0.381093,3.0828,0.050377,11.7623,5.785028,13.3644,0.719067,0.234954,1
0.608239,8.4727,0.343385,26.6531,4.905319,29.0411,0.977373,0.446913,0
1.286007,38.5546,1,43.175,2.063134,62.5117,2.049686,0.755427,0
0.258199,0.5773,0.028433,9.7232,7.539484,5,0.479698,0.172973,1
0.276645,0.7788,0,5.288,8.027798,18.735,0.389797,0.092657,1
0.627814,7.5635,0.542166,26.0582,4.945241,24.9599,0.935177,0.517246,0
0.189268,1.4227,0.120387,10.3513,7.621286,19.6899,0.451651,0.105969,1
0.445851,2.1684,0.093419,12.0298,6.385559,7.7458,0.649692,0.209675,1
0.356194,2.9008,0,17.167,6.549107,13.0062,0.50082,0.206013,1
0.50435,0,0.2204,12.4701,5.690372,10.7483,0.657495,0.226539,1
0.229769,1.2396,0.082185,5.7185,7.739345,7.7697,0.367551,0.181908,1
0.382158,0.8518,0.056101,23.4387,6.414812,15.5452,0.612216,0.190714,1
0.160817,0.3963,0,0.0288,7.993407,9.2832,0.227783,0.122265,1
0.46548,2.7735,0.176,20.4542,5.781143,19.1504,0.690271,0.254901,1
0.314856,0.1843,0.086243,8.8756,6.376127,14.0699,0.424773,0.147003,1
0.199723,0.8506,0.038016,4.8798,7.315206,11.5116,0.495255,0.081709,1
1.145432,34.3631,0.983595,39.7238,2.246191,54.9916,2.128616,0.659625,0
0.267958,0.8918,0,1.0139,6.923467,9.8015,0.418118,0.144899,1
0.355864,0.7819,0.151289,20.6225,6.726851,18.4241,0.551618,0.214683,1
1.055477,26.7274,0.878818,34.2688,2.903301,46.5777,1.790129,0.63542,0
0.899645,17.9357,0.939491,26.9613,3.988931,41.5862,1.561156,0.586944,0
1.515702,45.948,0.949385,44.5148,1.222793,72.1075,2.601551,0.794254,0
0.37419,1.9955,0.055833,22.2175,6.203911,18.9983,0.566629,0.201224,1
0.752105,13.7091,0.633686,37.0498,4.718555,34.4332,1.295339,0.45015,0
0.213677,0.5487,0.099491,0.3697,7.84149,11.167,0.404941,0.12732,1
1.049507,26.8541,1,37.9757,2.956837,53.7135,1.796315,0.801842,0
0.226409,0,0.061698,7.4351,7.084681,8.0205,0.480828,0.196346,1
0.146916,0.8829,0.03649,0,7.764766,14.617,0.290602,0.1318,1
0.42744,2.1967,0.166884,18.5563,5.859064,11.0674,0.669358,0.213787,1
0.225911,1.5368,0.005657,4.3442,7.746112,6.2419,0.452214,0.138209,1
0.648688,9.5413,0.525865,24.0029,5.20535,24.0648,1.044797,0.384694,0
0.451064,2.5519,0.269998,27.6642,5.80459,5,0.704655,0.333898,1
1.237922,37.9909,0.993122,47.4775,1.458661,70.0001,2.366125,0.790388,0
0.311885,1.585,0,10.2147,6.898675,11.1309,0.465642,0.237827,1
0.316475,2.4152,0.057914,10.5636,6.979002,18.1259,0.435999,0.317957,1
0.237051,0,0.107251,0,8.026936,21.7452,0.296839,0.016104,1
1.149926,31.3374,0.997566,39.0334,2.3689,60.2101,2.004073,0.716839,0
1.416614,45.242,0.980184,43.602,0.963389,83.7439,2.539137,0.845121,0
0.32716,2.0273,0.042403,6.9143,6.5578,17.782,0.492018,0.141501,1
0.152897,0.7358,0.072712,3.8716,7.35472,7.6869,0.353581,0.13452,1
0.799886,16.7015,0.793899,33.0056,4.045366,40.8324,1.387396,0.587023,0
0.42011,3.2116,0.125315,18.2604,6.169038,16.9878,0.611033,0.191603,1
1.274975,37.0619,1,39.3507,1.958527,69.9815,2.186877,0.7946,0
0.208224,0.6886,0.123738,3.7824,7.699724,10.6296,0.452439,0.154897,1
1.142909,30.3048,0.92788,34.5315,2.188897,52.8894,1.989685,0.660076,0
0.833972,19.2389,0.95442,31.862,3.582836,42.337,1.489953,0.598883,0
0.167647,0,0,0.1539,7.683828,6.303,0.297316,0.093198,1
0.509644,3.0818,0.288731,23.2003,5.607372,26.4706,0.605976,0.386072,1
1.335069,41.5041,1,38.7008,1.51734,61.214,2.429269,0.776869,0
1.057756,29.3106,0.996487,37.8564,2.709089,52.7011,1.81709,0.676849,0
0.215384,0,0,1.3698,7.712614,14.6155,0.306922,0.130351,1
0.230101,0.1972,0,5.3947,6.803233,12.9947,0.530623,0.201988,1
0.223224,0.9695,0,5.4852,7.026696,12.5257,0.447454,0.126711,1
0.607897,8.3194,0.311657,25.9727,5.007662,18.751,1.040116,0.323621,0
1.372283,41.7417,1,45.4911,1.455947,64.5802,2.382722,0.736589,0
0.154286,0.101,0.047978,7.957,7.526992,6.1238,0.343285,0.074608,1
1.514952,51.9605,0.89535,46.6745,1.180314,83.7679,2.701438,0.915477,0
0.191843,0.4877,0.01305,4.6385,7.667876,5,0.524578,0.06998,1
0.223105,1.8117,0.025835,4.0094,7.174865,15.8985,0.405092,0.140868,1
0.659464,7.7322,0.515196,23.3434,5.215943,26.8059,0.855055,0.317918,0
0.322951,0.9757,0,13.621,6.15481,8.3123,0.549893,0.193636,1
0.667702,11.6555,0.518921,30.378,5.038633,32.0685,1.071577,0.391322,0
1.299752,33.7263,0.962693,37.2981,1.777284,61.5803,2.118078,0.740688,0
0.309758,0.2035,0.088732,9.2232,7.011421,12.7876,0.479639,0.165685,1
0.15308,0.3571,0.126495,2.5079,7.645122,23.4116,0.29496,0.187201,1
0.159457,0,0,5.749,7.734433,10.5705,0.212805,0.079682,1
0.915524,18.745,0.967425,36.9248,3.648044,40.9434,1.349659,0.617848,0
0.175155,0,0,0,8.525422,9.9437,0.005454,0.03373,1
0.187718,0.6385,0,4.0283,7.877499,11.3627,0.274536,0.101319,1
0.584612,12.0053,0.340317,25.4146,4.775267,23.4398,1.136667,0.39153,0
1.135682,34.1012,0.97894,37.841,2.172382,52.0011,1.911225,0.746601,0
0.72838,15.3362,0.689949,32.3725,4.676938,34.4204,1.163156,0.594908,0
1.527736,50.0027,1,38.6006,0.797514,86.9139,2.579791,0.866061,0
0.365587,1.9091,0.092213,17.7897,6.228057,12.7618,0.669889,0.116077,1
0.435213,2.6832,0.107968,10.8925,6.193996,12.7702,0.54284,0.21229,1
0.386406,1.7247,0.092306,10.3038,6.220017,10.3212,0.601928,0.226547,1
0.230812,1.0493,0,4.919,7.715494,13.3591,0.481731,0.057247,1
0.524813,2.4914,0.140735,26.7163,5.273531,17.9625,0.763388,0.352767,1
0.195116,1.1259,0.029349,1.2211,7.690284,16.6974,0.443859,0.091962,1
0.559739,8.4439,0.360127,26.2446,5.299713,16.6789,0.98061,0.243538,0
0.270993,0.4405,0,12.7197,7.289931,20.0681,0.528331,0.126398,1
1.127582,27.2856,0.970662,36.3919,2.224949,43.1142,1.960853,0.789048,0
0.269213,0,0.018833,11.8892,7.350906,11.7051,0.377401,0.093656,1
0.567238,3.8182,0.371136,23.3,4.980366,16.4472,0.872185,0.389301,0
0.529119,1.9363,0.248038,19.1273,5.170193,15.6378,0.823082,0.207023,0
1.254858,36.508,1,46.6954,2.040526,58.3091,2.112075,0.761118,0
0.209808,1.2166,0,6.1479,7.6309,9.4411,0.486959,0.074875,1
0.99291,22.2344,1,39.8508,3.303737,41.0125,1.655543,0.687264,0
0.194954,0.3565,0,0.8044,7.943332,8.8636,0.246335,0.025945,1
0.271511,0,0.088899,14.1238,7.212515,18.3094,0.382851,0.149408,1
1.071783,24.2757,1,33.9251,2.790027,48.2973,1.750848,0.815815,0
0.560322,4.5247,0.316919,28.7057,4.988468,16.5552,0.92618,0.33432,0
0.983363,22.3151,0.993264,35.311,3.023006,45.6818,1.557652,0.762589,0
0.535003,4.0275,0.31133,21.3126,5.804616,13.4732,0.828533,0.330445,1
1.479586,45.6709,0.987491,44.1213,0.990041,71.6855,2.392629,0.782197,0
0.354016,2.2868,0.110095,16.0805,7.074709,13.561,0.662662,0.142038,1
0.196264,0.5129,0,0.3991,7.61386,17.4747,0.398997,0.060545,1
0.18925,0.8394,0.009199,8.3129,8.054619,12.0074,0.2661,0.131175,1
0.227578,1.2937,0.082326,5.002,7.396272,5.6275,0.495135,0.095735,1
0.219571,0.4933,0.060312,3.5438,7.688706,14.4398,0.305617,0.156285,1
0.199613,1.0646,0,10.6119,7.658352,9.9265,0.342132,0.089572,1
0.469383,2.9897,0.120865,15.0533,5.749157,7.5354,0.720515,0.269342,1
0.45429,2.2989,0.17306,19.0372,5.682662,21.0033,0.582517,0.381581,1
0.791424,16.3565,0.865843,34.9035,3.202712,36.7078,1.383789,0.442283,0
0.162505,1.0554,0,0,7.925789,5,0.341171,0.079812,1
0.475066,2.9601,0.189187,20.5235,5.684707,11.3491,0.693375,0.276853,1
0.51126,3.1814,0.187257,19.8987,5.597013,8.0908,0.675435,0.183413,1
0.202293,1.0408,0.017119,1.232,8.044591,8.4154,0.373972,0.136723,1
0.94893,22.6536,0.995497,35.2972,3.034615,49.6579,1.766857,0.70415,0
0.222551,0.9609,0.053909,5.8175,7.013401,5,0.543279,0.046404,1
0.40363,1.4463,0.142406,16.4505,6.179138,18.2961,0.61109,0.12156,1
0.157457,0.4317,0.088942,0,8.259768,5,0.286082,0.004385,1
1.530331,52.7558,0.960544,46.0101,1.184496,85.4299,2.762993,0.875786,0
0.234007,0.8284,0,0,7.901084,5.6809,0.325343,0.040541,1
0.891726,18.93,0.973639,38.7152,3.559982,32.0275,1.475676,0.637071,0
