pesticide_concentration,uv_vis_absorbance,color_shift,lspr_shift,nanoparticle_aggregation,nacl_effect,fluorescence_signal,spectral_response,plant_stress_signal,plant_health
4.2442,3.1397,120.5182,39.1163,0.9465,2.4900,2.4771,8.4841,13.4385,0
1.0696,1.8806,28.5247,7.3530,0.1315,0.5913,5.7614,2.3268,5.6756,1
2.6401,3.0612,60.9609,11.3390,0.6111,1.2793,3.2607,3.6276,10.4703,0
0.4225,1.3033,10.6981,5.3620,0.0186,0.0918,7.5414,1.0252,2.0095,1
0.4566,1.1914,8.7817,3.4430,-0.0138,0.1165,7.1711,0.8902,3.0855,1
2.9334,3.1295,80.2758,19.6202,0.6291,1.4452,2.8294,4.8303,11.5178,0
2.0881,2.8011,48.9846,8.4712,0.3945,0.6778,3.5840,3.0353,7.9812,0
4.4705,3.5654,129.5738,36.7658,1.0287,3.0940,1.4612,8.4108,14.7033,0
3.1488,3.1726,72.3929,17.5066,0.6898,1.6552,2.6600,5.2418,11.2498,0
4.8927,3.5499,149.6102,47.7725,1.0255,3.3339,1.6623,10.4829,15.6502,0
4.4911,3.2193,136.4560,40.4100,1.0325,2.9257,1.7926,9.2121,14.0442,0
2.6627,2.8060,53.8073,13.4664,0.6182,1.4126,3.6344,4.4973,10.9351,0
2.7150,2.8710,60.0670,18.9146,0.6511,1.6093,3.0898,5.1264,9.0856,0
3.4153,2.8454,103.6329,22.7350,0.8141,2.1453,1.7611,6.3806,13.3613,0
3.2478,3.3423,96.0285,27.1754,0.9026,1.9991,2.1870,6.9048,13.1601,0
2.1255,2.5933,65.0761,12.3729,0.4229,0.9625,4.4419,3.1136,7.8304,0
4.1333,3.3800,118.4563,30.5465,0.9689,2.9540,2.0920,6.9494,13.9863,0
0.6811,1.6725,10.9401,3.1676,-0.0204,-0.1825,6.7805,1.7138,3.2634,1
3.5198,3.3257,95.5603,28.0291,0.8581,1.8780,2.3094,7.3990,13.7605,0
2.0592,2.6635,56.7459,15.2194,0.1873,0.3032,3.9963,4.0390,7.0049,0
0.6881,1.5740,8.7660,1.9657,0.1106,0.1627,6.4748,0.8988,4.3166,1
4.5539,3.2348,124.6486,40.0481,1.0849,3.3518,2.0090,8.3395,15.9995,0
1.7794,2.5869,46.5745,6.4247,0.2660,0.2507,4.5821,3.1036,7.2830,1
4.9115,3.3090,135.6706,44.6679,0.8779,2.4253,1.5329,9.8858,15.9147,0
0.1733,0.1401,-12.8631,0.2585,-0.0890,0.0945,7.8479,0.5699,1.6360,1
1.2638,2.2005,22.9734,7.4851,0.0710,0.1111,5.5438,1.6483,5.5351,1
3.7180,3.3076,111.8865,26.5853,0.9164,2.2931,1.6639,6.4410,13.3423,0
2.3382,2.9058,67.9700,8.3781,0.3341,0.6561,3.6455,3.3905,8.3862,0
0.8454,1.8163,13.2333,4.4662,0.0043,-0.1738,6.1983,2.1665,4.0562,1
4.9073,3.6774,150.0879,46.4116,1.1183,3.1847,0.9179,9.3031,16.3166,0
3.9218,3.3155,117.1552,33.1918,1.0534,2.6162,2.7903,7.0917,13.2542,0
2.0976,2.5846,65.2349,16.1292,0.3047,0.6133,4.1155,4.2814,8.9074,0
2.4069,2.9546,67.2158,9.4466,0.3577,0.5416,3.7146,3.5720,9.5064,0
4.1054,3.4580,130.3126,28.0593,0.8550,2.0905,1.5669,6.4168,13.8675,0
2.1321,2.9122,71.4103,10.0769,0.3005,0.5497,3.9152,4.4573,8.6873,0
4.1237,3.3178,126.8230,32.2182,0.8918,2.5470,2.3514,7.1455,13.5426,0
2.7126,3.0351,61.9786,14.6961,0.5730,1.2428,3.2406,4.8376,9.3913,0
3.5351,3.2469,101.1440,24.1082,0.8164,1.7871,2.7891,5.7104,11.6472,0
4.8939,3.4917,138.1528,46.8698,0.9947,2.9935,2.4864,9.6085,15.0655,0
4.1269,3.4287,119.7685,33.0819,0.9971,2.8707,1.2154,7.6817,14.9193,0
2.0553,2.5513,57.3738,13.6650,0.3572,0.7805,3.9284,3.4454,8.9716,0
2.9628,3.2308,91.3335,16.9375,0.6812,1.5357,3.0745,5.5723,12.3886,0
0.2785,0.9170,7.1202,2.9056,0.0521,0.0914,7.6999,-0.4422,3.2773,1
4.1622,3.4146,112.4704,34.0159,0.9197,2.4965,2.2502,7.3577,13.2286,0
1.0887,1.9816,31.9318,4.3812,0.0932,0.0833,5.3342,1.3664,5.4193,1
2.3667,2.9886,51.4208,13.9616,0.5307,1.0757,3.4065,3.5004,9.1836,0
4.9121,3.3789,149.3534,45.0378,1.0820,3.7396,1.4779,9.6703,14.9190,0
2.3786,2.7413,74.7142,12.1104,0.4250,0.6139,4.3250,3.5534,8.9427,0
0.1123,0.3650,5.3052,-1.1721,-0.1090,0.0163,7.7867,-0.5383,2.2200,1
4.8750,3.3854,150.6912,47.8649,1.1849,3.6193,1.5143,9.5564,16.2826,0
2.8469,3.0821,73.4674,12.4774,0.7423,1.5326,3.3551,4.4836,10.5114,0
1.5812,2.3484,29.5015,9.0878,0.1877,0.3035,4.3708,3.3782,6.3224,0
3.2285,3.3557,93.3215,24.7897,0.7688,1.7819,3.1242,5.5655,11.7328,0
1.8100,2.7338,33.6644,9.8206,0.0948,0.1998,4.8003,2.3200,6.3736,1
3.0282,3.2989,85.8307,17.9899,0.6726,1.4485,3.0854,5.0929,11.8948,0
0.6809,1.3399,4.7386,6.3787,0.1281,0.3980,6.7739,2.0765,4.3404,1
4.2360,3.1248,112.8232,35.0403,0.9319,2.4161,1.4028,7.6591,13.8123,0
0.5995,1.3790,22.2841,-0.0750,0.0231,-0.0208,7.4959,-0.4906,1.2640,1
2.8056,3.0504,72.0068,20.0370,0.7733,1.8543,3.8833,5.4631,10.1992,0
4.9471,3.3408,147.2225,41.1171,0.8931,2.3465,1.4332,9.3455,15.0333,0
4.3965,3.3077,126.2623,43.6176,1.0493,3.1246,2.0047,8.1052,14.7495,0
3.2714,3.1672,102.0421,21.3667,0.8341,1.8436,1.8088,5.5748,12.6892,0
3.8169,3.2727,109.2834,26.6253,0.8823,2.4961,2.3968,6.1646,13.3834,0
2.0389,2.7199,33.5848,13.1720,0.1308,0.1496,4.7227,2.8621,7.5834,0
0.5525,1.5223,6.8967,3.1044,0.2784,0.1013,7.5721,1.4131,3.7308,1
2.9380,2.9137,72.1403,18.2311,0.6926,1.4676,3.1218,4.4988,11.3323,0
1.5858,2.1942,42.0369,8.6476,0.1087,0.0350,4.5410,2.8448,6.0065,1
0.9872,1.7417,17.7378,7.4757,0.0980,-0.0065,5.9749,2.9732,4.3482,1
3.5915,3.1554,109.3415,24.9591,0.9710,2.4012,2.6702,6.0626,12.4437,0
3.6755,3.3416,96.7365,23.0273,0.8281,1.9839,1.6274,5.3808,13.8571,0
2.1195,2.6860,51.4539,11.4478,0.3213,0.7278,4.2046,3.1739,7.5090,0
3.9475,3.2245,123.7570,36.4317,1.1019,2.7995,2.9097,7.7734,13.7522,0
2.1329,2.8856,62.6777,5.5280,0.3513,0.6373,4.1160,2.4120,9.0396,0
3.2434,3.1862,74.7645,17.1106,0.8265,2.0529,3.1117,4.6260,11.2368,0
1.4155,2.3869,30.0450,7.5908,0.0992,0.0094,4.8337,2.2483,5.9599,1
1.9270,2.7426,46.6319,8.6627,0.1816,0.5937,3.9625,2.8391,7.5925,0
1.7938,2.6171,40.8904,5.6752,0.1401,0.1561,4.3974,2.3495,5.8600,0
1.1618,2.3246,22.7408,8.5916,0.0615,0.2834,5.5556,3.1439,5.0473,1
0.9745,2.0882,26.8234,5.3048,0.0432,0.0376,5.4938,1.3456,4.7360,1
2.8629,3.3007,79.0843,17.1724,0.7073,1.7246,3.3663,4.7029,10.4785,0
2.2987,2.4767,58.6378,9.3748,0.5795,1.4233,4.1226,3.4697,9.9999,0
1.3314,2.3757,41.6416,7.1649,0.1108,0.2233,5.0209,2.9741,6.6896,1
3.8411,3.1401,104.8971,32.4655,0.9549,2.5702,2.3790,6.9176,14.1999,0
2.7496,3.1236,80.1565,13.5000,0.7314,1.4567,3.2138,3.3177,10.7088,0
1.9942,2.9605,50.4536,8.7745,0.1515,0.4002,3.6313,2.8385,8.7583,0
2.0914,2.7890,50.7645,9.2343,0.3831,0.6830,3.9816,3.5142,8.6739,0
3.8265,3.2095,125.0503,30.2057,0.9604,2.1121,1.9297,7.1887,13.4718,0
2.8954,2.9682,75.3746,10.9955,0.8015,1.8397,3.2283,3.1231,10.5786,0
1.9848,2.5809,42.0806,11.3614,0.2541,0.6277,4.4847,2.5963,7.5666,0
1.0805,1.8956,28.1129,4.7057,0.0999,-0.0552,6.2029,2.0728,4.7271,1
1.4553,2.1948,22.3935,5.5887,0.1392,0.2609,4.8534,2.2789,6.4422,1
1.0251,2.0995,6.1541,6.1313,0.0026,0.0290,6.2641,3.3631,3.8081,1
2.4121,2.9380,66.5835,11.9926,0.5246,0.9361,4.1371,3.5813,9.8490,0
2.3868,2.6921,64.2570,11.7237,0.4465,1.0068,4.1572,3.6944,9.8719,0
4.5395,3.5640,137.4378,44.2541,1.0511,2.8519,1.7679,9.6629,14.8761,0
2.2241,2.7380,49.2332,13.4003,0.3517,0.5847,3.7083,3.3279,8.5090,0
4.3845,3.3714,138.2049,33.6431,0.9975,2.8367,2.2680,7.4290,14.7363,0
4.2907,3.1082,142.2201,33.4574,0.9708,3.0915,2.4478,7.7107,13.2168,0
1.8464,2.7339,37.6329,10.8378,0.1943,0.3283,4.6408,4.7536,6.7424,1
4.3178,3.4957,131.9834,34.5169,0.9870,2.7335,1.5304,6.9582,15.7032,0
4.1017,3.4070,115.2589,36.1094,0.9509,2.4179,2.0750,8.0041,13.4370,0
3.0407,3.4110,85.0938,14.8128,0.7567,1.6623,2.7847,3.9275,11.9498,0
2.7958,2.8761,74.5786,17.1707,0.6114,1.5358,3.9406,5.4130,10.1433,0
3.3373,3.2417,84.5887,20.9435,0.8802,2.1494,2.6595,6.5099,12.6251,0
4.3207,3.3301,125.9624,38.0994,1.0390,2.8461,1.9763,8.5038,14.3204,0
4.0916,3.3701,112.7340,38.2092,0.9227,2.3975,1.9535,8.5410,13.6345,0
0.9899,2.1212,20.7614,7.7239,0.0466,0.0586,5.8959,2.6546,4.8114,1
1.7119,2.6501,55.2789,10.4739,0.2760,0.5979,4.6368,3.2506,7.3822,1
2.5276,3.2973,54.0001,12.1032,0.5762,1.2641,3.9100,4.3351,10.2677,0
2.2048,2.8951,45.2025,15.9109,0.4570,0.7571,4.1956,4.0232,8.0594,0
1.6296,2.5082,40.2513,4.4176,0.0727,0.2622,4.7143,2.7744,6.7215,1
0.8208,1.6987,21.6651,4.9639,-0.0079,0.1992,6.0040,2.3741,3.7067,1
1.5776,2.3358,40.4944,8.1347,0.0602,0.1937,4.7019,2.5321,5.8197,1
4.0071,3.5207,114.8403,29.2547,1.0668,2.5805,2.6794,7.7255,13.7885,0
4.2964,3.3900,113.3667,35.4583,0.9316,2.7490,1.6506,8.6406,14.4648,0
4.5470,3.4235,135.5252,37.1395,1.0335,3.0177,1.5810,9.0849,15.2792,0
4.8634,3.4670,144.5425,44.2235,0.9688,2.5432,2.4272,10.0591,13.9745,0
3.4687,3.1841,91.1423,27.1656,0.8727,2.0082,3.5062,5.5880,12.4946,0
3.1492,2.8209,85.0673,19.7301,0.7955,1.8736,3.3049,5.7292,11.0714,0
3.2014,2.9802,88.0468,21.6713,0.8390,2.0382,2.4230,5.6813,12.5978,0
1.8200,2.9007,46.4569,7.8391,0.1835,0.3510,4.5456,2.8074,6.1844,1
1.7006,2.5488,39.7532,15.1124,0.0474,0.3070,5.1407,3.8905,5.2099,1
1.7179,2.4330,37.9976,12.0842,0.2792,0.4871,5.0699,2.6528,6.7668,1
3.7101,3.3230,98.9382,29.6549,0.8948,2.2493,2.3592,7.4646,13.2454,0
3.2463,3.1919,85.9548,23.0319,0.8564,1.9207,3.1897,5.9184,11.6171,0
3.7802,3.3244,104.3309,27.2024,0.8384,2.0956,2.0171,6.1685,13.3064,0
2.5115,3.1166,64.0842,5.2871,0.5690,0.8599,3.7912,3.5699,9.7982,0
4.8767,3.6102,137.3721,50.1598,1.0263,2.9949,1.8954,11.2643,16.2428,0
1.1926,2.1099,28.6276,3.8395,0.0616,0.1127,5.0229,2.2626,6.3220,1
0.6154,1.3005,7.4676,8.0839,0.0171,0.1340,6.6966,2.4879,2.6559,1
0.5987,1.5798,13.5368,2.3655,-0.0355,-0.2483,7.1264,1.2922,2.5836,1
2.9279,2.9580,85.4379,19.7381,0.6155,1.5601,3.3254,5.4926,10.9241,0
1.5581,2.3173,36.7341,9.1759,0.1142,0.4076,4.3878,2.1698,6.2853,0
2.7950,3.2294,67.3776,10.9444,0.5443,1.1032,2.9387,3.4748,10.2930,0
4.1508,3.2843,119.3850,40.8858,0.9093,2.3887,2.4655,8.4851,13.9152,0
0.7739,1.4961,9.9408,1.9165,0.0868,0.2655,6.3668,1.2876,4.6714,1
3.6881,3.4676,103.5037,33.8714,0.9100,2.1797,2.5000,8.5215,12.1755,0
2.7890,2.9209,66.7819,13.1160,0.4923,0.9822,3.1162,4.6490,10.2304,0
1.9413,2.7601,58.2935,9.9006,0.2461,0.5123,4.0887,3.1533,7.4873,0
0.7404,1.7231,15.6995,6.8026,0.0303,0.0410,6.2563,1.7088,2.4555,1
0.1124,0.2585,4.7076,-0.0517,-0.0870,-0.0402,8.0485,-0.0387,1.6819,1
2.4708,2.8318,49.2820,9.4405,0.5459,1.1373,3.4041,3.8685,9.7464,0
1.5802,2.3457,25.7952,9.2738,0.1827,0.3777,4.5364,3.3484,6.0631,1
3.2195,3.1288,93.6075,12.9555,0.9708,2.5127,2.2371,4.6556,12.1531,0
4.2372,3.5808,120.5298,38.8211,1.2107,3.3526,2.1006,8.4173,15.0808,0
0.3707,0.8914,4.5817,0.1829,-0.0578,-0.2619,6.9550,0.3477,2.6375,1
1.1437,1.7847,34.0452,4.3379,-0.0093,0.0494,6.2705,1.8591,3.9901,1
1.0948,2.1525,29.5489,6.1407,0.1149,-0.3510,5.0762,1.7764,5.2432,1
2.2997,2.6647,60.6394,10.4187,0.4615,1.0290,3.4395,3.8148,9.0886,0
1.3675,2.3055,47.6320,6.8520,0.0860,-0.0381,5.0726,2.0146,6.0832,1
0.7670,1.6414,19.4606,2.7235,0.0410,0.1787,6.9587,1.6495,3.8717,1
0.4419,1.2218,-0.5427,3.6244,-0.0284,-0.1389,7.4450,1.9374,2.8647,1
3.6939,3.0692,100.5379,28.8495,0.9422,2.5739,1.5552,5.7032,14.0247,0
0.6593,1.4994,20.2660,4.2098,0.1479,-0.0357,6.9430,1.3946,3.7798,1
2.7227,3.0648,77.5131,15.6309,0.5276,0.9156,3.3342,3.6779,9.8180,0
1.9702,2.5868,44.6124,12.5057,0.3554,0.2231,4.2199,4.1865,8.5804,0
3.8000,3.1995,113.3409,32.7718,0.8850,2.3682,2.8182,6.9949,12.1102,0
1.9225,2.4968,48.6480,10.7293,0.0812,0.2097,4.2214,2.6587,7.4588,0
0.8976,1.9302,33.2230,4.0081,-0.0092,0.1823,5.6881,1.6169,5.6661,1
3.6381,3.2155,87.6457,30.2884,0.8860,1.9876,2.3204,7.0741,13.1922,0
1.3592,2.3160,33.6518,6.4234,0.0619,-0.0554,5.1152,1.9603,6.5552,1
3.5694,3.4156,94.5853,33.4644,0.8749,2.2839,2.9970,7.7645,11.9138,0
4.8701,3.3833,148.3333,39.6732,0.8179,2.2317,1.4180,8.4069,16.1289,0
1.8089,2.4200,41.3385,6.6911,0.2392,0.7249,4.7109,2.9333,6.6463,1
4.0856,3.2533,130.9657,35.0216,0.9692,2.4869,2.8521,7.1759,13.0683,0
1.6762,2.5204,34.9530,8.2600,0.2091,0.2665,4.6657,1.9657,6.8315,1
3.3693,3.1686,88.7960,23.6243,0.8804,1.9720,2.8100,6.5740,11.3400,0
2.4032,2.8525,58.7696,12.9508,0.5492,1.2773,3.5114,4.0714,9.9946,0
1.8109,2.6832,38.8107,8.3913,0.3614,0.5485,4.5185,3.2917,7.8642,1
4.9104,3.4222,156.3530,45.3324,0.9292,2.9453,2.0246,9.9852,14.9225,0
4.0810,3.5526,135.8752,32.4588,1.1102,2.8757,1.8464,7.6239,14.3589,0
4.4710,3.2788,135.0095,38.8576,0.9941,2.8832,1.6829,9.0877,14.9463,0
1.3420,2.3084,19.2343,8.1355,0.1766,0.3709,5.0828,1.5682,5.4791,1
0.7295,1.4610,-8.1786,1.0864,-0.0020,-0.3627,5.6649,0.3611,4.9509,1
1.0096,2.0722,31.5432,0.7215,0.0120,-0.1050,5.8814,1.3433,4.3914,1
0.6715,1.5422,0.0851,1.8322,0.1862,0.1388,7.4835,1.2334,3.0695,1
0.3239,0.9759,-0.1645,3.6369,-0.0517,-0.1844,7.5158,0.9975,2.9411,1
1.1076,1.9642,11.4207,4.1637,0.1353,0.5194,5.8116,1.8360,5.5640,1
4.6937,3.4818,150.2430,43.4936,0.9214,2.8417,1.4713,8.8762,14.4769,0
0.9574,1.8198,15.1050,0.2365,0.0174,0.0140,6.1378,0.7324,5.0144,1
2.0785,2.5233,51.3298,12.2601,0.1832,0.1688,3.6983,3.2449,7.9246,0
2.5683,3.0770,68.5710,7.8478,0.4996,1.3354,4.3775,4.1461,9.6208,0
1.0675,1.9566,12.6170,6.5536,0.1154,-0.0470,5.8663,2.6462,5.3433,1
3.7891,3.1995,115.1719,30.6028,1.0012,2.5227,1.8622,6.4346,13.1982,0
0.6482,1.5256,12.0007,-0.6480,0.0585,0.3554,5.8581,1.4068,4.2956,1
0.3164,0.6220,0.0230,0.9612,0.0066,0.0638,7.5005,0.1882,3.0313,1
3.8909,3.3367,115.7057,30.8991,0.9143,2.5814,1.9027,7.5668,13.6223,0
2.1637,2.7131,38.4513,10.9117,0.3260,0.6682,4.3348,3.9367,8.8117,0
3.5593,3.2644,108.1368,26.8273,0.8217,2.1427,1.7232,6.6784,12.9379,0
4.3204,3.3568,124.6918,34.7278,1.0118,2.8521,1.9702,8.1953,14.6494,0
3.9501,3.2370,124.9153,31.0025,0.7536,1.6937,2.8358,7.4961,12.7517,0
1.0336,2.0269,22.0250,6.7718,0.1204,0.2461,6.0290,2.1932,4.4084,1
4.5078,3.7257,140.7740,41.1615,1.0754,2.9157,1.5881,9.4564,14.3975,0
2.2694,2.7422,54.4335,13.3941,0.2220,0.3459,3.5696,3.3006,8.3634,0
3.8234,3.0187,109.1960,33.4901,0.9382,2.5809,2.1940,6.8974,14.7246,0
2.8208,3.0081,80.4517,16.4677,0.7975,1.8144,3.4767,5.1908,10.2809,0
3.9715,3.3450,123.0284,33.3953,0.9841,2.5716,1.5999,8.0327,14.6927,0
2.9881,3.0766,82.1307,10.2243,0.6732,1.5846,3.8342,2.8744,9.2310,0
2.4316,3.1034,66.7999,12.6591,0.4115,0.9989,3.9065,3.7597,8.0715,0
0.5198,1.2364,34.2892,-0.9914,0.0508,0.2124,6.7965,0.8931,3.3619,1
0.7447,1.6909,15.1716,3.0976,0.0658,0.1110,6.9795,1.5594,2.7097,1
1.2668,2.1760,21.6785,5.0911,0.1017,0.2273,5.4954,2.1057,6.0640,1
1.4070,2.4010,28.5703,6.9263,0.0842,0.0482,5.3029,2.1861,5.7443,1
2.7140,2.5746,81.9122,14.6076,0.5949,1.0729,3.8834,4.5708,10.6878,0
3.6608,3.3257,100.6560,30.6672,0.9254,2.3007,2.7706,6.9130,13.3374,0
1.9829,2.4728,33.1933,6.8776,0.3561,0.9005,4.2893,3.1827,8.0408,0
0.8607,1.6336,8.1813,3.0426,-0.0230,-0.0741,6.2941,1.5680,3.1609,1
0.6015,1.4846,12.9581,0.6975,0.0285,0.0467,7.0330,1.3763,2.7074,1
0.0943,0.5386,-0.6351,0.2680,0.1194,-0.1339,8.2061,0.5213,1.4646,1
2.6979,3.2209,60.9171,14.0642,0.6178,1.0949,3.1725,3.6500,10.3536,0
4.3529,3.2701,126.4034,31.5116,0.9351,2.7900,1.9857,7.6271,15.1320,0
3.2351,3.0269,105.7183,25.2930,0.8211,1.7868,2.8127,6.3985,11.5764,0
1.4158,2.5668,26.4529,5.0830,-0.0782,0.0090,4.6662,2.9324,5.3566,1
4.6016,3.4208,143.2231,39.0307,1.1668,3.3446,2.0134,8.8290,15.2848,0
2.4594,2.8069,70.2855,14.5568,0.4966,1.1576,3.9499,4.4295,10.0570,0
2.3920,2.8895,46.1174,7.5511,0.3320,0.7346,3.2868,3.6691,7.8809,0
3.5204,3.0803,97.7009,25.0495,0.8106,2.1777,2.1883,6.8828,13.4828,0
2.8206,3.1787,68.4562,16.5936,0.6189,1.0388,2.4102,4.8625,10.7146,0
0.4702,1.0875,12.0247,6.2400,-0.0907,0.0529,7.0006,1.7200,2.7137,1
2.1628,2.8922,55.8909,9.8279,0.3322,0.7990,4.0983,2.9398,8.4663,0
4.9640,3.5020,159.4413,47.2079,1.0646,3.4068,1.9946,9.9957,15.2835,0
3.0778,3.0350,96.1671,19.2159,0.7064,1.5301,2.5565,5.0306,11.6838,0
3.8923,3.3638,111.6652,34.7198,0.8296,2.1570,2.0964,7.3385,13.0300,0
2.0183,2.6177,54.3077,12.1499,0.2611,0.5096,4.3885,3.9831,6.8079,0
5.0000,3.5504,151.0762,39.6379,1.1305,3.2702,0.9583,8.9918,17.0191,0
1.1310,2.1823,17.3422,4.5283,0.0473,-0.1755,6.5241,2.0474,3.5845,1
2.9090,3.1496,68.7776,17.4193,0.6522,1.5869,3.3342,4.9619,10.5139,0
0.9896,1.7375,21.1406,6.3354,-0.0443,-0.0548,6.1989,1.9915,5.0481,1
0.8101,1.7348,16.7501,3.3941,-0.1001,-0.3465,6.2014,2.1852,3.5199,1
2.6020,2.7323,83.9821,11.9008,0.5832,1.3306,3.0123,3.5910,9.9391,0
0.6002,1.2477,12.7571,4.6461,-0.0382,-0.1395,6.6750,0.6564,3.4921,1
1.2907,2.1716,37.7186,4.1358,0.1461,0.4574,5.5331,2.0319,5.8426,1
0.4785,1.3164,1.8529,2.2300,0.0062,-0.0220,7.7856,1.5108,1.5918,1
1.2432,2.0480,26.1164,4.3964,0.0291,0.0152,5.6026,1.0410,4.1526,1
3.1571,3.1178,69.6494,16.6265,0.8767,1.9833,3.2296,4.9744,10.8219,0
3.8468,3.3724,124.2432,30.2528,0.9367,2.6456,1.8138,6.8510,14.7791,0
0.5221,1.0729,5.6267,4.7027,0.0112,0.0227,7.1355,1.9631,1.8896,1
0.1251,0.3747,-12.3644,-0.1272,0.1445,0.2366,7.8179,1.1059,3.5953,1
4.9479,3.5585,134.6707,46.4112,0.9552,2.9105,1.6320,10.3924,14.4770,0
2.1173,2.8433,49.9795,10.8532,0.2528,0.4765,4.8010,3.2598,7.1790,0
4.6481,3.6594,146.8808,47.3458,1.1288,3.4047,1.3171,9.2113,15.4430,0
2.6681,2.9166,67.7152,6.7512,0.5878,1.2917,3.1313,2.7243,8.5642,0
0.1962,0.3916,-8.8188,-2.7693,0.0583,0.2397,7.9479,0.2828,2.9420,1
3.9341,3.4172,110.8204,28.1371,0.9115,2.6959,1.9483,5.8667,13.1700,0
4.7935,3.4009,147.8711,39.4087,1.1158,3.3968,1.7196,9.1353,15.6981,0
0.2059,0.6169,5.0724,1.6673,-0.0229,-0.1000,7.3564,0.4196,3.0015,1
2.6688,3.0144,69.7389,13.0596,0.6729,1.5797,4.0346,3.7707,9.8425,0
